"project","method_qual_name","release","loc","cbo","wmc","rfc","lcom","dit","noc","is_long_method","is_god_class"
"BOOKKEEPER","addRanges/1[org.apache.hedwig.protocol.PubSubProtocol.LedgerRange]","4.0.0","10","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","create/0","4.0.0","5","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","buildPartial/0","4.0.0","11","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","clearRanges/0","4.0.0","4","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","internalGetResult/0","4.0.0","3","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","getRanges/1[int]","4.0.0","3","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","clear/0","4.0.0","7","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","getDefaultInstanceForType/0","4.0.0","3","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","Builder/0","4.0.0","2","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","mergeFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","26","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","PublishRequest/0","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","parseDelimitedFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","9","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","internalGetFieldAccessorTable/0","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","getDefaultInstanceForType/0","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","getDefaultInstance/0","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[com.google.protobuf.CodedInputStream]","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","hasMsg/0","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","initFields/0","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","isInitialized/0","4.0.0","5","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","toBuilder/0","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","getSerializedSize/0","4.0.0","11","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","newBuilder/1[org.apache.hedwig.protocol.PubSubProtocol.PublishRequest]","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","writeTo/1[com.google.protobuf.CodedOutputStream]","4.0.0","7","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","getDescriptor/0","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[com.google.protobuf.ByteString]","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[byte[],com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","newBuilder/0","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","newBuilderForType/0","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","(initializer 8)","4.0.0","5","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","PublishRequest/1[boolean]","4.0.0","2","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","getMsg/0","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[com.google.protobuf.ByteString,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[java.io.InputStream]","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[byte[]]","4.0.0","3","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","parseDelimitedFrom/1[java.io.InputStream]","4.0.0","9","12","34","21","287.0","2","0","0","0"
"BOOKKEEPER","writeTo/1[com.google.protobuf.CodedOutputStream]","4.0.0","7","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","11","33","19","291.0","2","0","0","0"
